Training Step,Reward,Value Error
12500,-5.26888,0.0
25000,-3.81952,0.0
37500,-4.38976,0.0
50000,-4.06504,0.0
62500,-4.07296,0.0
75000,-3.71656,0.0
87500,-3.42352,0.0
100000,-3.48688,0.0
112500,-3.2572,0.0
125000,-2.81368,0.0
137500,-3.00376,0.0
150000,-2.59984,0.0
162500,-2.53648,0.0
175000,-2.05336,0.0
187500,-2.11672,0.0
200000,-2.0296,0.0
212500,-1.72864,0.0
225000,-1.6336,0.0
237500,-1.44352,0.0
250000,-1.37224,0.0
262500,-1.3564,0.0
275000,-1.45936,0.0
287500,-1.37224,0.0
300000,-1.24552,0.0
312500,-1.44352,0.0
325000,-1.34848,0.0
337500,-1.44352,0.0
350000,-1.36432,0.0
362500,-1.41976,0.0
375000,-1.34848,0.0
387500,-1.41184,0.0
400000,-1.26928,0.0
412500,-1.28512,0.0
425000,-1.33264,0.0
437500,-1.42768,0.0
450000,-1.38016,0.0
462500,-1.34056,0.0
475000,-1.22176,0.0
487500,-1.38016,0.0
500000,-1.37224,0.0
